row_beats_col_win%,Master Yi,Irelia,Diana,LeBlanc,Azir,Sivir,Viktor,Vex,Annie,Miss Fortune,Pyke,Kha'Zix,Ezreal,Rengar,Lillia,Kai'Sa,Ahri,Draven,Fiora,Leona,Jhin,Ornn,Yasuo,Rek'Sai,Lux,Teemo,Sett,Lucian,Jinx,Poppy,Volibear,Lee Sin,Vi,Darius,Ivern,Jax,Renata Glasc,Garen,Rumble
Master Yi,,58,52,42,58,38,58,47,58,44,66,54,61,49,70,63,53,48,53,57,90,76,70,55,56,62,52,53,71,56,44,59,62,60,64,67,80,58,70
Irelia,42,,44,61,50,51,44,57,49,49,62,42,71,47,59,65,67,56,52,63,74,62,62,45,60,71,51,51,76,62,63,49,55,56,43,54,77,83,62
Diana,48,56,,69,49,50,45,56,53,52,38,62,32,51,69,44,75,55,50,75,25,67,60,41,58,58,55,65,50,70,53,58,64,63,65,61,90,79,75
LeBlanc,58,39,31,,54,54,63,42,43,57,54,47,44,45,64,41,60,49,68,71,49,63,58,66,64,59,41,67,52,47,71,70,64,59,73,62,50,54,55
Azir,42,50,51,46,,54,48,58,47,63,67,43,69,62,50,53,61,47,58,64,61,50,67,50,50,72,73,61,63,62,70,53,44,50,50,62,77,82,60
Sivir,62,49,50,46,46,,22,58,50,70,51,37,42,53,73,60,82,79,46,71,57,81,71,17,32,65,71,65,71,50,67,54,69,53,89,60,47,55,64
Viktor,42,56,55,37,52,78,,42,12,71,76,53,53,56,35,50,52,10,75,59,54,58,33,73,64,48,36,67,35,67,94,67,19,60,56,60,70,68,70
Vex,53,43,44,58,42,42,58,,36,39,42,77,32,44,67,36,48,23,50,68,47,48,93,41,59,50,50,63,45,44,62,42,50,29,45,59,80,67,75
Annie,42,51,47,57,53,50,88,64,,45,54,50,68,42,61,54,45,45,40,33,69,85,41,60,79,67,21,41,100,71,50,75,73,62,60,88,62,62,75
Miss Fortune,56,51,48,43,37,30,29,61,55,,67,50,56,50,64,50,75,86,62,58,65,69,57,9,6,50,42,44,60,36,59,42,54,38,79,75,62,50,67
Pyke,34,38,62,46,33,49,24,58,46,33,,52,48,30,43,38,54,43,48,62,28,42,54,28,50,62,36,36,44,38,42,38,64,53,29,27,58,45,67
Kha'Zix,46,58,38,53,57,63,47,23,50,50,48,,24,37,57,42,61,60,61,67,69,73,64,60,50,50,44,56,56,56,67,58,88,78,44,60,50,71,67
Ezreal,39,29,68,56,31,58,47,68,32,44,52,76,,52,52,57,82,56,56,71,60,62,47,50,29,69,77,67,69,59,31,44,67,44,67,58,57,50,50
Rengar,51,53,49,55,38,47,44,56,58,50,70,63,48,,57,42,48,39,62,72,78,44,71,50,72,73,29,50,57,56,60,47,64,58,67,33,56,70,20
Lillia,30,41,31,36,50,27,65,33,39,36,57,43,48,43,,68,57,22,35,65,69,33,58,71,79,53,50,47,36,85,60,56,60,55,42,38,80,92,54
Kai'Sa,37,35,56,59,47,40,50,64,46,50,62,58,43,58,32,,68,39,55,70,38,54,70,64,53,50,50,30,83,50,55,80,50,29,64,38,75,69,71
Ahri,47,33,25,40,39,18,48,52,55,25,46,39,18,52,43,32,,57,50,48,45,50,47,55,19,60,60,47,27,27,55,44,42,50,44,70,57,40,44
Draven,52,44,45,51,53,21,90,77,55,14,57,40,44,61,78,61,43,,45,79,67,60,80,47,72,50,50,67,69,67,33,38,70,50,67,56,43,67,25
Fiora,47,48,50,32,42,54,25,50,60,38,52,39,44,38,65,45,50,55,,56,56,47,75,75,71,40,50,62,67,38,53,33,60,40,57,64,100,33,33
Leona,43,37,25,29,36,29,41,32,67,42,38,33,29,28,35,30,52,21,44,,31,53,53,25,27,43,17,50,67,36,70,45,30,50,46,33,36,27,0
Jhin,10,26,75,51,39,43,46,53,31,35,72,31,40,22,31,62,55,33,44,69,,25,36,50,55,57,33,58,57,44,50,40,40,33,53,20,45,75,75
Ornn,24,38,33,37,50,19,42,52,15,31,58,27,38,56,67,46,50,40,53,47,75,,58,40,75,58,60,30,38,33,36,38,30,36,73,56,71,67,43
Yasuo,30,38,40,42,33,29,67,7,59,43,46,36,53,29,42,30,53,20,25,47,64,42,,36,77,44,67,12,58,89,67,38,17,38,62,50,33,57,33
Rek'Sai,45,55,59,34,50,83,27,59,40,91,72,40,50,50,29,36,45,53,25,75,50,60,64,,38,80,40,40,50,75,70,78,80,70,33,62,83,60,0
Lux,44,40,42,36,50,68,36,41,21,94,50,50,71,28,21,47,81,28,29,73,45,25,23,62,,33,67,50,67,50,100,71,17,40,,40,62,57,67
Teemo,38,29,42,41,28,35,52,50,33,50,38,50,31,27,47,50,40,50,60,57,43,42,56,20,67,,42,50,50,38,42,75,50,75,71,36,75,100,56
Sett,48,49,45,59,27,29,64,50,79,58,64,56,23,71,50,50,40,50,50,83,67,40,33,60,33,58,,67,62,29,43,12,56,25,62,60,67,70,75
Lucian,47,49,35,33,39,35,33,37,59,56,64,44,33,50,53,70,53,33,38,50,42,70,88,60,50,50,33,,50,38,78,80,86,40,33,83,43,57,50
Jinx,29,24,50,48,37,29,65,55,0,40,56,44,31,43,64,17,73,31,33,33,43,62,42,50,33,50,38,50,,33,36,36,50,40,60,33,70,60,75
Poppy,44,38,30,53,38,50,33,56,29,64,62,44,41,44,15,50,73,33,62,64,56,67,11,25,50,62,71,62,67,,100,60,33,12,71,71,57,50,33
Volibear,56,37,47,29,30,33,6,38,50,41,58,33,69,40,40,45,45,67,47,30,50,64,33,30,0,58,57,22,64,0,,100,67,25,56,29,50,33,50
Lee Sin,41,51,42,30,47,46,33,58,25,58,62,42,56,53,44,20,56,62,67,55,60,62,62,22,29,25,88,20,64,40,0,,62,14,58,25,82,14,50
Vi,38,45,36,36,56,31,81,50,27,46,36,12,33,36,40,50,58,30,40,70,60,70,83,20,83,50,44,14,50,67,33,38,,0,38,18,50,50,40
Darius,40,44,37,41,50,47,40,71,38,62,47,22,56,42,45,71,50,50,60,50,67,64,62,30,60,25,75,60,60,88,75,86,100,,100,50,43,100,50
Ivern,36,57,35,27,50,11,44,55,40,21,71,56,33,33,58,36,56,33,43,54,47,27,38,67,,29,38,67,40,29,44,42,62,0,,20,80,80,33
Jax,33,46,39,38,38,40,40,41,12,25,73,40,42,67,62,62,30,44,36,67,80,44,50,38,60,64,40,17,67,29,71,75,82,50,80,,75,50,17
Renata Glasc,20,23,10,50,23,53,30,20,38,38,42,50,43,44,20,25,43,57,0,64,55,29,67,17,38,25,33,57,30,43,50,18,50,57,20,25,,29,33
Garen,42,17,21,46,18,45,32,33,38,50,55,29,50,30,8,31,60,33,67,73,25,33,43,40,43,0,30,43,40,50,67,86,50,0,20,50,71,,50
Rumble,30,38,25,45,40,36,30,25,25,33,33,33,50,80,46,29,56,75,67,100,25,57,67,100,33,44,25,50,25,67,50,50,60,50,67,83,67,50,
