player,yas_w,yas_l,yas_win%,yasuo_events,prior_win%,prior_history
Sebastian N,8,4,67,Utr 8-4,82,Lil Irelia 9-2
Boris S,1,3,25,Utr 1-3,77,Bol Irelia 7-3 | Lil Yasuo 10-2
Javier E,5,3,62,Har 5-3,75,Las Yasuo 3-1
Niklas R,4,4,50,Utr 4-4,70,Lil Lee Sin 7-3
Kyle S,4,3,57,Van 4-3,67,Atl Yasuo 8-4
Florin-Cristian L,4,3,57,Van 4-3,61,Bol Volibear 3-3 | Las Master Yi 9-3 | Lil Master Yi 2-3 | Atl Miss Fortune 5-3
Josh W,2,3,40,Har 2-3,58,Atl Yasuo 7-5
Jake C,4,3,57,Har 4-3,57,Las Darius 4-3
Peng Xiang Y,4,3,57,Har 4-3,57,Van Master Yi 4-3
Fabià M,3,4,43,Utr 3-4,57,Bol Yasuo 4-3
Alessio P,3,4,43,Utr 3-4,57,Lil Irelia 4-3
David D,7,11,39,Van 2-5 | Har 5-6,57,Atl Yasuo 4-3
Manuel O,4,3,57,Utr 4-3,56,Bol Lee Sin 6-5 | Lil Rek'Sai 4-3
Xander C,3,4,43,Van 3-4,43,Las Yasuo 3-4
jose matias e,4,3,57,Utr 4-3,42,Lil Yasuo 5-7
Sebastian L,3,3,50,Utr 3-3,33,Bol Irelia 2-4
Matt M,1,1,50,Har 1-1,33,Las Yasuo 2-4
Mariusz N,3,4,43,Utr 3-4,33,Bol Yasuo 2-4
Salomon B,4,4,50,Har 4-4,25,Atl Yasuo 1-3
Randy R,2,3,40,Har 2-3,0,Las Yasuo 0-2
Mael G,2,4,33,Utr 2-4,0,Bol Lucian 0-1
Mario L,1,3,25,Utr 1-3,0,Bol Fiora 0-3
Elwyn C,8,4,67,Van 8-4,,(new — Yasuo first)
Jimmy P,5,3,62,Van 5-3,,(new — Yasuo first)
Kishi W,5,3,62,Har 5-3,,(new — Yasuo first)
Jason W,5,3,62,Har 5-3,,(new — Yasuo first)
Quin L,3,2,60,Van 3-2,,(new — Yasuo first)
Jarrod B,7,5,58,Syd 7-5,,(new — Yasuo first)
Bailey O,4,3,57,Syd 4-3,,(new — Yasuo first)
Trevor L,4,3,57,Van 4-3,,(new — Yasuo first)
Tino H,4,3,57,Utr 4-3,,(new — Yasuo first)
Robert B,4,3,57,Utr 4-3,,(new — Yasuo first)
Bailey H,4,3,57,Har 4-3,,(new — Yasuo first)
Tristan L,4,3,57,Har 4-3,,(new — Yasuo first)
Leopold E,4,3,57,Har 4-3,,(new — Yasuo first)
Matt C,4,3,57,Har 4-3,,(new — Yasuo first)
Brian D,9,7,56,Van 5-3 | Har 4-4,,(new — Yasuo first)
